male ID,kinship,mold,initial egg number,eggs infected,proportion infected,eggs returned,eggs after 1 day,eggs eaten after 1 day,proportion eaten after 1 day,TFC,mean temperature,days artificial rearing,length female 1,length female 2,male length,male weight
2,own,yes,376,175,0.47,200,101,99,0.5,no,12.68,4,35,34,34,362
2,own,no,415,0,0,231,209,22,0.1,no,12.68,4,35,34,34,362
4,foreign,yes,278,21,0.08,246,151,95,0.39,no,13.19,7,36,40,39,521
4,foreign,no,332,2,0.01,290,282,8,0.03,no,13.19,7,36,40,39,521
5,own,yes,436,15,0.03,420,417,3,0.01,no,12.5,5,36,35,35,367
5,own,no,402,0,0,370,367,3,0.01,no,12.5,5,36,35,35,367
6,foreign,yes,405,212,0.52,246,8,238,0.97,no,13.08,6,38,37,37,487
6,foreign,no,389,0,0,296,90,206,0.7,no,13.08,6,38,37,37,487
7,foreign,yes,290,107,0.37,155,24,131,0.85,no,12.68,3,36,37,38,522
7,foreign,no,286,0,0,165,87,78,0.47,no,12.68,3,36,37,38,522
8,foreign,yes,279,68,0.24,229,152,77,0.34,no,13.41,4,36,37,35,440
8,foreign,no,239,6,0.03,188,166,22,0.12,no,13.41,4,36,37,35,440
10,foreign,yes,388,227,0.59,201,22,179,0.89,no,13.03,3,32,33,33,378
10,foreign,no,358,0,0,211,85,126,0.6,no,13.03,3,32,33,33,378
11,foreign,yes,411,162,0.39,255,192,63,0.25,no,12.2,3,35,34,34,386
11,foreign,no,395,0,0,271,251,20,0.07,no,12.2,3,35,34,34,386
13,foreign,yes,430,48,0.11,380,343,37,0.1,no,13.25,5,36,37,36,429
13,foreign,no,481,0,0,432,423,9,0.02,no,13.25,5,36,37,36,429
14,own,yes,239,75,0.31,166,50,116,0.7,no,12.27,3,38,38,38,550
14,own,no,257,0,0,158,127,31,0.2,no,12.27,3,38,38,38,550
16,own,yes,377,208,0.55,117,60,57,0.49,no,12.29,3,35,40,39,557
16,own,no,402,0,0,110,98,12,0.11,no,12.29,3,35,40,39,557
18,own,yes,400,206,0.52,192,155,37,0.19,no,12.75,4,32,32,31,278
18,own,no,389,2,0.01,189,178,11,0.06,no,12.75,4,32,32,31,278
19,foreign,yes,194,34,0.18,178,90,88,0.49,no,13.24,6,38,39,40,574
19,foreign,no,251,0,0,154,115,39,0.25,no,13.24,6,38,39,40,574
20,own,yes,419,124,0.3,253,138,115,0.45,no,12.69,2,33,37,35,349
20,own,no,454,0,0,293,266,27,0.09,no,12.69,2,33,37,35,349
21,foreign,yes,407,55,0.14,359,288,71,0.2,no,12.54,3,35,34,34,381
21,foreign,no,414,0,0,362,345,17,0.05,no,12.54,3,35,34,34,381
22,foreign,yes,608,480,0.79,156,151,5,0.03,no,12.35,3,38,36,37,400
22,foreign,no,599,0,0,181,174,7,0.04,no,12.35,3,38,36,37,400
23,own,yes,494,44,0.09,444,331,113,0.25,no,12.24,3,38,36,36,405
23,own,no,484,0,0,399,381,18,0.05,no,12.24,3,38,36,36,405
24,foreign,yes,562,125,0.22,440,226,214,0.49,no,12.94,2,34,34,33,310
24,foreign,no,614,0,0,476,427,49,0.1,no,12.94,2,34,34,33,310
27,own,yes,290,114,0.39,140,122,18,0.13,no,12.33,3,37,36,36,379
27,own,no,324,0,0,164,160,4,0.02,no,12.33,3,37,36,36,379
28,foreign,yes,580,38,0.07,523,440,83,0.16,no,12.77,4,33,33,32,274
28,foreign,no,526,1,0,478,475,3,0.01,no,12.77,4,33,33,32,274
29,own,yes,449,387,0.86,87,13,74,0.85,no,12.43,3,35,34,34,432
29,own,no,453,0,0,90,81,9,0.1,no,12.43,3,35,34,34,432
32,own,yes,486,173,0.36,324,219,105,0.32,no,12.27,3,31,34,34,340
32,own,no,514,2,0,333,312,21,0.06,no,12.27,3,31,34,34,340
39,own,yes,269,45,0.17,186,159,27,0.15,no,13.35,7,33,34,33,289
39,own,no,237,1,0,154,141,13,0.08,no,13.35,7,33,34,33,289
41,foreign,yes,339,54,0.16,304,197,107,0.35,no,13.26,3,35,35,35,389
41,foreign,no,339,0,0,298,288,10,0.03,no,13.26,3,35,35,35,389
46,foreign,yes,246,49,0.2,195,29,166,0.85,no,12.9,3,32,33,34,343
46,foreign,no,280,0,0,235,201,34,0.14,no,12.9,3,32,33,34,343
48,own,yes,423,132,0.31,301,56,245,0.81,no,12.7,3,36,40,35,398
48,own,no,464,0,0,399,324,75,0.19,no,12.7,3,36,40,35,398
49,foreign,yes,392,149,0.38,262,78,184,0.7,no,13.5,2,33,34,34,335
49,foreign,no,458,0,0,326,199,127,0.39,no,13.5,2,33,34,34,335
50,foreign,yes,265,173,0.65,93,,,,yes,12.76,2,37,37,38,443
50,foreign,no,225,0,0,108,,,,yes,12.76,2,37,37,38,443
1003,own,yes,535,68,0.13,498,350,148,0.3,no,14,3,36,36,36,464
1003,own,no,527,0,0,485,477,8,0.02,no,14,3,36,36,36,464
1025,own,yes,333,67,0.2,304,107,197,0.65,no,13.91,4,32,34,32,285
1025,own,no,377,0,0,342,289,53,0.15,no,13.91,4,32,34,32,285
1043,own,yes,418,80,0.19,356,128,228,0.64,no,14.1,3,33,34,33,287
1043,own,no,354,1,0,264,117,147,0.56,no,14.1,3,33,34,33,287
1044,own,yes,195,74,0.38,136,31,105,0.77,no,13.76,4,32,34,32,284
1044,own,no,246,0,0,178,127,51,0.29,no,13.76,4,32,34,32,284
1053,own,yes,417,223,0.53,207,79,128,0.62,no,14.43,5,33,34,33,403
1053,own,no,411,21,0.05,204,67,137,0.67,no,14.43,5,33,34,33,403
2001,own,yes,523,121,0.23,477,301,176,0.37,no,14.58,3,37,37,35,378
2001,own,no,517,0,0,476,462,14,0.03,no,14.58,3,37,37,35,378
2026,foreign,yes,482,229,0.48,257,153,104,0.4,no,14.4,3,35,34,32,326
2026,foreign,no,477,0,0,267,236,31,0.12,no,14.4,3,35,34,32,326
2031,own,yes,413,162,0.39,262,204,58,0.22,no,14.39,4,34,31,31,260
2031,own,no,367,0,0,266,225,41,0.15,no,14.39,4,34,31,31,260
2034,own,yes,416,233,0.56,202,27,175,0.87,no,14.76,3,35,34,34,358
2034,own,no,467,0,0,271,208,63,0.23,no,14.76,3,35,34,34,358
2035,own,yes,499,205,0.41,324,121,203,0.63,no,14.91,3,36,30,31,302
2035,own,no,503,0,0,343,333,10,0.03,no,14.91,3,36,30,31,302
2036,foreign,yes,481,47,0.1,465,268,197,0.42,no,14.99,4,35,38,38,435
2036,foreign,no,525,0,0,495,487,8,0.02,no,14.99,4,35,38,38,435
2038,own,yes,472,60,0.13,429,35,394,0.92,no,14.83,3,34,31,30,267
2038,own,no,454,0,0,398,165,233,0.59,no,14.83,3,34,31,30,267
2045,own,yes,493,60,0.12,452,339,113,0.25,no,14.93,3,35,33,33,320
2045,own,no,541,0,0,506,486,20,0.04,no,14.93,3,35,33,33,320
2056,own,yes,545,135,0.25,453,262,191,0.42,no,14.87,3,36,35,34,346
2056,own,no,499,0,0,358,344,14,0.04,no,14.87,3,36,35,34,346
